app.update.complete-toast.title	Version {version} was successfully installed!	App.vue
app.update.complete-toast.text	Click here to view the changelog.	App.vue
app.auth-servers.unreachable.header	Cannot reach authentication servers	App.vue
app.auth-servers.unreachable.body	Minecraft authentication servers may be down right now. Check your internet connection and try again later.	App.vue
app.nav.home	Home	App.vue
app.nav.worlds	Worlds	App.vue
app.nav.discover	Discover content	App.vue
app.nav.skins	Skin selector	App.vue
app.nav.library	Library	App.vue
app.nav.hosting	Modrinth Hosting	App.vue
app.nav.downloads	Downloads	App.vue
app.nav.create-instance	Create new instance	App.vue
app.sidebar.playing-as	Playing as	App.vue
app.restarting	Restarting...	App.vue
app.signed-in-as	Signed in as	App.vue
app.sign-out	Sign out	App.vue
app.sign-in-modrinth	Sign in to a Modrinth account	App.vue
app.settings.title	Settings	App.vue
app.news.title	News	App.vue
app.news.view-all	View all news	App.vue
app.update-popup.title	Update available	App.vue
app.update-popup.download-complete	Download complete	App.vue
app.update-popup.body.metered	Modrinth App v{version} is available. Use your package manager to update for the latest features and fixes!	App.vue
app.update-popup.reload	Reload to update	App.vue
app.update-popup.download	Download ({size})	App.vue
app.update-popup.changelog	Changelog	App.vue
app.grid-display.search-placeholder	Search	components\GridDisplay.vue
app.grid-display.sort-by	Sort by: 	components\GridDisplay.vue
app.grid-display.group-by	Group by: 	components\GridDisplay.vue
app.grid-display.select-placeholder	Select...	components\GridDisplay.vue
app.grid-display.label	Instances	components\GridDisplay.vue
app.grid-display.name	Name	components\GridDisplay.vue
app.grid-display.last-played	Last played	components\GridDisplay.vue
app.grid-display.date-created	Date created	components\GridDisplay.vue
app.grid-display.date-modified	Date modified	components\GridDisplay.vue
app.grid-display.game-version	Game version	components\GridDisplay.vue
app.grid-display.group	Group	components\GridDisplay.vue
app.grid-display.loader	Loader	components\GridDisplay.vue
app.grid-display.none	None	components\GridDisplay.vue
app.grid-display.play	Play	components\GridDisplay.vue
app.grid-display.stop	Stop	components\GridDisplay.vue
app.grid-display.add-content	Add content	components\GridDisplay.vue
app.grid-display.view-instance	View instance	components\GridDisplay.vue
app.grid-display.duplicate-instance	Duplicate instance	components\GridDisplay.vue
app.grid-display.delete	Delete	components\GridDisplay.vue
app.grid-display.open-folder	Open folder	components\GridDisplay.vue
app.grid-display.copy-path	Copy path	components\GridDisplay.vue
